fight_id,fighter_id,opening,closing_range_min,closing_range_max
b7d238437d6644ce,05fa626cb33d15b8,110,150,175
bdeca00572419011,05fa626cb33d15b8,-215,-185,-175
c0518d213b67e754,05fa626cb33d15b8,130,-105,110
cb56e868deaddac4,05fa626cb33d15b8,-305,-333,-280
64756e0f4b305da8,0641c21bec209472,-280,-190,-185
7cf7960c6ccb5fa1,0641c21bec209472,525,500,800
84b04e8d6b251c54,0641c21bec209472,300,475,525
ee9173615ef4cfae,0641c21bec209472,325,425,450
632f6960544caa3c,064b7dc68d786254,110,146,150
788c4bbf925cdf40,064b7dc68d786254,100,130,135
62f564662f33692d,065eb44700e641a4,-170,-108,-105
9cd172df74575fd4,065eb44700e641a4,145,187,205
bbb67c2ac4453d64,065eb44700e641a4,165,250,260
f7ae397fefa57c70,065eb44700e641a4,180,335,360
0a85b3ad328205ff,06626b6287e1ae1e,250,300,350
20971ed9a842b0cb,06626b6287e1ae1e,170,-124,-105
2a1071689c3af9df,06626b6287e1ae1e,105,-110,114
b80c6eba11c54778,06626b6287e1ae1e,130,180,210
108434acbbd75d26,06734ca9d88dec3a,-250,-205,-166
426e7a3de68117b0,06734ca9d88dec3a,100,-220,-188
fbbf5391ea25521b,06734ca9d88dec3a,-700,-810,-549
3e39829aedc9346f,06827d70c53ff0d9,-130,-149,-145
5563d6de0b4c4d65,06827d70c53ff0d9,100,110,115
5bff1ece35abac7f,06827d70c53ff0d9,-300,-360,-335
794b63b4c1e1e789,06827d70c53ff0d9,-165,-162,-155
d38cd293a0c3fdfd,06827d70c53ff0d9,-140,-107,-105
e00da416750f75a9,06827d70c53ff0d9,-245,-235,-220
3f71ac21472f994c,068f8a189a47fea6,155,146,163
702759500d47a059,068f8a189a47fea6,140,-125,-110
86046081e767437e,068f8a189a47fea6,-185,-143,-133
9ba051e0f5674108,068f8a189a47fea6,-155,-125,-111
9ce56acac775d386,068f8a189a47fea6,-215,-290,-278
b776b08e2cc6aa0c,068f8a189a47fea6,110,180,220
cc477d322638ba30,068f8a189a47fea6,175,190,200
d763ad79532b27ff,068f8a189a47fea6,175,250,300
3a38b0b566f3045d,06a80a685ea98573,140,187,220
5c8d9d893d163d51,06a80a685ea98573,-185,-175,-153
b1e66cea3a4d4709,06a80a685ea98573,315,300,350
2554b31a07f34e1a,06e4245d16fc5315,-250,-235,-205
340fcdcabc49f142,06e4245d16fc5315,142,200,225
6997693d552600dd,06e4245d16fc5315,-125,-200,-175
7ba432e218edc17d,06e4245d16fc5315,-250,-245,-205
c40b934d2666e351,06e4245d16fc5315,-129,-195,-180
cae7de0873e03947,06e4245d16fc5315,-275,-275,-220
ce62a50e97d497f9,06e4245d16fc5315,-250,-250,-250
06142a1de3bbae75,06f36cf4bd97ec77,105,110,110
23243c27deb4d596,06f36cf4bd97ec77,135,122,122
2711e57bbef4d928,06f36cf4bd97ec77,-160,-105,-105
289004336bd71d34,06f36cf4bd97ec77,110,135,145
3818a33c9103c88f,06f36cf4bd97ec77,-250,-280,-280
3901d9cdbb0949bc,06f36cf4bd97ec77,145,225,235
408fc024d3e91b0e,06f36cf4bd97ec77,135,170,195
50e675146cda6e7c,06f36cf4bd97ec77,210,170,188
53d6e37063f9c404,06f36cf4bd97ec77,220,185,200
7e57d7848f9faacf,06f36cf4bd97ec77,-280,-220,-220
7f3bd3b913df61f4,06f36cf4bd97ec77,115,125,140
a1f9a28339f5e1b2,06f36cf4bd97ec77,-105,-130,-130
